Campaign Name,Campaign Group Name,Campaign Status,Cost,Clicks,CTR
Wordpress-Recovery,,Enabled,₹429.03,6,4.76%
WordPress Maintenance India - Search,,Enabled,₹193.69,3,4.41%
Hacked Site Recovery India - Search,,Enabled,₹130.86,2,5.71%
